,Comments
73,"Tito Rochin
2 weeks ago
With so much Russian assertiveness and no Ukrainian demonstrators to show that these actions will not be complied with associated business unless Ukraine’s security is met without threat I believe Ukraine’s will be swindled into frustrations that of a  puppet state
REPLY"
74,"mws755
2 weeks ago (edited)
130 , 000 troops  , a little over the capacity of a college football stadium ,  will not be enough to full scale invade a large country of 44 million . They can conduct bomb and missile attacks but not occupy territory beyond maybe one  small city
1
REPLY"
75,"Drone Ninja Productions
2 weeks ago
Any moment 
Situation intensified 
That’s all they say, they even repeat each other over and over again. When does the news caste start to feel stupid ?
REPLY"
76,"Spreadable Wonder
2 weeks ago
All you have to do is to release a joint statement, informing Russia that Ukraine has been accepted into Nato, as per its request. For phook's sake, what is needed for these politicians to wake up? Shall this provoke WW3? The only thing this will provoke is Russians going back home with their sorry tail between their legs.
23
REPLY"
77,"DjayBAG
2 weeks ago
Power to Russia 🇷🇺...
REPLY"
78,"bernlikesart
2 weeks ago
The Only Thing We Learn From History Is That We Learn Nothing From History.
18
REPLY"
79,"??
2 weeks ago
We are at a point where if Biden can stay awake for the whole phone call.........thats a ""win"" for him.
1
REPLY"
80,"migzzy 022
2 weeks ago
When putin said no invasion means he will invade..
30
REPLY"
81,"Mark Hollenbeck
2 weeks ago
Luke 21:28 - Now when these things begin to take place, straighten up and raise your heads, because your redemption is drawing near 🙏
56
REPLY"
82,"Jay Bird
2 weeks ago
Could someone tell me what time the invasion of Ukraine is supposed to begin tomorrow? 
I took the day off and have some errands to run before the bombing gets underway and I don't want to miss this one. 
I missed the live 'night vision' shock-and-awe on Iraq's WMDs, no wait, was that them? Anyway, I don't want to miss this one, it could be the last one any one of us ever gets to watch.
Read more
REPLY"
83,"Melissa Jackson
7 days ago
Does anyone have any concern of Russia trying to invade or take back Alaska next?
REPLY"
84,"Phillip Moore
2 weeks ago
ALL WE ARE SAYING GIVE PEACE A CHANCE PLEASE.🙏🤝🤲✌💚
1
REPLY"
85,"Working class hero ,stretch
2 weeks ago
Violence solves nothing, that’s what I was taught when I was a 
child
1
REPLY"
86,"Aaron Mckenzie
2 weeks ago
never heard so much back and forth in my life this is going to be the most anticipated fight to ever been recorded the media is the hype man i want to say one thing while the comments are still enable i'm not fighting for this country
7
REPLY"
87,"E C
2 weeks ago (edited)
Unfortunately War is part of humanity and that will never change, it's all about the survival of the strongest .
1
REPLY"
88,"Victor Obinna
2 weeks ago (edited)
Blame the West's response to Russia on Germany and Nord Stream 2. Germany is too reliant on Russia for economic gains. You don't expect them to fully oppose Russia. Russia also buys a lot of Mercedes Benz
REPLY"
89,"Weebee
2 weeks ago
I pray to God that this madness will stop. :(
1
REPLY"
90,"-EMMA-- Go To My ChanneI! L!VE NOW
2 weeks ago
So many young men and women perish for the mistakes and wrong decisions of old men. I pray the leaders of the world seek wisdom and make peace.
REPLY"
91,"Marloun Yunson
2 weeks ago
Whenever there is war
there is always suffering
there is always death
there is also MONEY in war!
1
REPLY"
92,"navita R
2 weeks ago
why can't the US mind its own business n help all the people in this country with their mental health issues so they do not commit crimes. the homelessness in this country is another huge problem. wages are the same n everything is up smh
22
REPLY"
93,"Filmdude
2 weeks ago
Remember folks, this is the same intelligence that claimed Sadam had weapons of mass destruction
2
REPLY"
94,"Isaiah Matthew
2 weeks ago
My anxiety is through the fucking roof right now. Prayers up people.
1
REPLY"
95,"Ziya Qurbanlı
2 weeks ago
Azerbaijan ❤️❤️❤️ Ukraine
REPLY"
96,"Vineet Rana
2 weeks ago
The suspense is just increasing day by day 🔥🔥
2
REPLY"
97,"iva taiwan
2 weeks ago
Good job Russia.
1
REPLY"
98,"Matthew Kashnig
2 weeks ago
He has troops amassed on three sides of the country but we do that every day to his country and others. Hell we got whole military bases 🤣🤣.
18
REPLY"
99,"Mely Michu
11 days ago
No one in the world wants to see a war break out suddenly  in these times. These things can be talked out with no unnecessary blood  to be spilled. I hope Putin does not make a mistake.
REPLY"
100,"Sahil Rajesh
2 weeks ago
2:40 sounds like Russia following US footsteps
14
REPLY"
101,"craig mcdonald
2 weeks ago
An old movie showed a young woman who moved into a Soviet built apartment complex ...she was awakened at night by a little girl in an old torn dress standing in front of an old closet ...workmen tore out the wood and found old bones and clothing dated from WW2.
1
REPLY"
102,"44_Max
2 weeks ago
No one leaves an army standing that long without the intent to invade. It must be costing Russia a fortune!
6
REPLY"
103,"Dennison Slocombe
2 weeks ago
A super power creating an excuse to invade another country...hmmm this sounds familiar🤔
REPLY"
104,"Job Chithalan
2 weeks ago
China and Russia could create a strategy whereby the US has to fight on both fronts at the same time.
That would significantly erode the power of the US.
Food for thought?!
REPLY"
105,"BEK
2 weeks ago
I wonder why they'll be recording all of what they're doing. To show that they're doing it to everybody ?
REPLY"
106,"Abaft
2 weeks ago
Yea, Russia is never guilty of anything. They always defend themselves...
11
REPLY"
107,"Wilmer Silva
2 weeks ago
Let's pray 🙏 🤲 for the best outcome.
REPLY"
108,"Gemthetics
2 weeks ago
""Call on the Lord in the day of trouble,
and He will deliver you.""
        -Psalm  50 :15
51
REPLY"
109,"Abdou Wahab
2 weeks ago
الحرب تنطلق في ثلاث  مناطق وفي نفس الوقت وهي في البحر الكرايبي في فنزولا وكوبا وفي بحر الصين مع مضق هرمز في إيران اوكرانيا
REPLY"
110,"Jessica Printke
2 weeks ago
As Russia lines up countries to the  Slaughter You notice hes strategically makes sure that his head is number one And never on the Is chopping block
REPLY"
111,"gio vanni
2 weeks ago
Lesson 1 from war, taking territory and holding it is 2 different things.  10-20 years of well funded insurgencies in addition to economic warefare, this only leads 1 way.  if they call the saudi again like in 2014 to drop the oil price again this time to 20 dollars a barrel, russia goes bankrupt.  70 percent of revenue of russia is from oil and gas.
1
REPLY"
112,"Jeff Smith
2 weeks ago
When your enemy is making a mistake, get out of his way.
11
REPLY"
113,"Mohammed Abdul Khader
2 weeks ago
The world must defend Ukraine from Russian aggression
3
REPLY"
114,"Joe Zamecki
2 weeks ago
The media loves to talk about this, without exploring WHY Putin wants to invade. The reason seems like it should be considered relevant. It would certainly give the media something more to talk about besides what it's  already repeated ad nauseum.
1
REPLY"
115,"ArpMan
2 weeks ago
Do you remember in the debates between Obama and Mitt Romney prior to Obama's second term when Obama poo-pooed Romney's comment that Russia is a threat.
1
REPLY"
116,"ricardo silva
2 weeks ago
Their ""Swift and Decisive"" response is like: ""Hey buddy, take some short range guns...unfortunately i'm on a hurry right now and i won't be able to stay, but have good luck. See ya.""
47
REPLY"
117,"Jack Bidon
2 weeks ago
Rusia putini bir türk olarak çok severdim 
Artık kızıyorum savaşa hayır
REPLY"
118,"Kyle Howard
2 weeks ago
I’m just guessing on a limb here. Tomorrow the tensions will be even tighter I’m guessing????
10
REPLY"
119,"ANDLE
2 weeks ago
Putin has his internet teams organizing and posting Antivax trucker convoy meetups for clueless Americans to keep them entertained while he invades another country. LOL
REPLY"
120,"Joj Jojo
2 weeks ago
DEMS:  ""We must protect Ukraines border and country! REEEE!""

Also DEMS:  "" We must destroy America's border and country! REEE!""
8
REPLY"
121,"I8YOURMOM
2 weeks ago
SEND THE FAMILIES OF THE POLITICIANS OF BOTH SIDES TO FIGHT THIS!
1
REPLY"
122,"greatstOne99
2 weeks ago
At this point I don't even feel like Russia is going to invade Ukraine.
10
REPLY"
123,"hipster doofez
2 weeks ago
Can the US have a conventional war without nuclear weapons?
REPLY"
124,"Anon Some
2 weeks ago
Even if they attacked there will not be a large scale war, only a conflict between Ukraine soldiers and Russians. The US or NATO will never risk world peace by attacking Russia. It’s like when the US left Afghanistan and taliban took over, no one would bother helping. Some things are just not worth interfering with
3
REPLY"
125,"knowledge
2 weeks ago
difference between ""looking dangerous"" and ""being dangerous"".Russia describes military doctrine as defensive military doctrine. With regard to nuclear weapons specifically, Russia reserves the right to use nuclear weapons: in response to the use of nuclear and other types of weapons of mass destruction against it or its allies,in case of aggression against Russia with the use of conventional weapons when the very existence of the state is threatened.
Read more
1
REPLY"
126,"TheGuyWhoPlaysGames
2 weeks ago
For those saying War doesn’t fix anything, if Nukes weren’t invented in WW2, we would already had World War 3. Throughout the history people had always fought and killed each other, peace was never something that lasted.
6
REPLY"
127,"bodasactra
2 weeks ago
Considering Russia was founded in Kiev, Ukraine and it is key to core Russian strategic defense, perhaps Putin has valid points to consider when he talks of U.S. bases and missiles on his border. We are already all up in his face, let him have this one.
1
REPLY"
128,"RED37i
2 weeks ago
Im very surprised that US is willing to defend a border 5000 miles away from US but not our own border. Why not just open our own border to Ukraine 100% so problem solved. Let them come free as ASYLUM SEEKERS with free flight to any 50 states, free education to their kids, free health care, and $400000 for their suffering.
3
REPLY"
129,"Zachary Hobday
2 weeks ago
I’m scared that ww3 might start and I’m worried😖
2
REPLY"
130,"Orxan Abbasov
2 weeks ago
Question to Western countries - are you satisfied now that after the collapse of the USSR you invested hundreds of billions of dollars in the development of numerous business projects in Russia? Haven't you been warned that all the huge profits that Russia will extract from these countless types of businesses, it will invest in the development of new military technologies, increasing its military potential and becoming a global threat again? You are reaping the fruits of your own mistakes.
Read more
REPLY"
131,"Karol Lošonczy
2 weeks ago
Ponúkam svoje služby,verejne,nie za zradcov ako sú niektorí Slováci,ale za verných,ako Slovák.Výsledky mám najlepšie,mienim ich využiť vo vašej prítomnosti.
REPLY"
132,"Enclave staff sergant
2 weeks ago (edited)
Ok, 130,000 troops near the border, yeah that's like your neighbor standing in your driveway with an assault rifle. I can see the issue here.
4
REPLY"
133,"denys malyarenko
2 weeks ago
I am from Ukraine. Definitely I can say We will fight very hard for every square meter of our land.  Thanks to all Americans and EU  for their support.
2
REPLY"
134,"Jason Sellers
2 weeks ago
I really don’t see Biden doing much help to Ukraine, maybe if Russia continues west.
REPLY"
135,"William Smith
2 weeks ago
looking at the placement of russian assets Ukraine has the upper hand for concentration of force/defeat in detail.
REPLY"
136,"RAM1
2 weeks ago (edited)
Hearsay. I know there’s allot going on, but let us common folk understand at least one thing for sure. Those who are meant to inform us on such matters have proven themselves untrustworthy. The only way to social wisdom is realizing how much we don’t know and how much of that is by design.
1
REPLY"
137,"-NENCY- Go To My ChanneI! L!VE NOW
2 weeks ago
Jesus, do people ever get tired of war and fighting. It's sad. To hell with our governments.
REPLY"
138,"Johnny Sins
2 weeks ago
The longest invasion announcement in history by America
17
REPLY"
139,"May First
2 weeks ago
We don't want war. We love our Ukrainian brothers and sisters. Please, no war! I'm Russian. Part of my family live in The Ukraine. This is insane, Russian people don't want war with the Ukraine.
2
REPLY"
140,"Alejandro Carrero
2 weeks ago
""Pre-fabricated excuse "" ... like ... ""weapons of mass destruction ""
27
REPLY"
141,"Joseph Jones
2 weeks ago
Brandon will respond ""swiftly"" by running away as swiftly as possible, abandoning the Ukraine, American citizens trapped in Ukraine, and swiftly holding a news conference to declare victory.
3
REPLY"
142,"Jordan hopper
2 weeks ago
Time for a good battle, been about 100 years since! We are due!
REPLY"
143,"DAVID Seals
2 weeks ago
When sheiff and Sullivan having their security clearance stopped for lieing about Russia. Russia. Russia
2
REPLY"
144,"WINSKY
2 weeks ago
THIS IS SO INSANE!
1
REPLY"
145,"Abhishek Dev
2 weeks ago
When Borders of Ukraine are more important than southern border of USA. 😑😑
REPLY"
146,"Sno Man
2 weeks ago
Us needs to watch their own borders,
8
REPLY"
147,"Under The Steel
2 weeks ago
Peace for Ukraine 🇺🇦 🇺🇦🇺🇸🇺🇸
5
REPLY"
148,"Lochness Monster
2 weeks ago
remember, China also builds up tension on Taiwan and the West Philippine Sea. These 2 countries are allies, they must be up to something.
REPLY"
149,"Frankie Austin
2 weeks ago
What are we gonna wait until they push the button. Come on , this is so aggressive. And we stand by and not only watch but were kind of justifying the passive aggressive behavior.
REPLY"
150,"Fred Landry
2 weeks ago
I wonder if this may be some elaborate deception what the Russians call a Maskirovka. But i doubt it.
1
REPLY"
151,"kevin paulsen
2 weeks ago
Good luck 82nd you are missed back here at home god be with you.
REPLY"
152,"zwriter365
2 weeks ago
The Media seems to be intensifying the message.. Russia is not attacking anything
11
REPLY"
153,"D W
2 weeks ago (edited)
Let’s go Brandon! It’s not like we didn’t warn you.    P.S - North Korea is launching missiles again. Lol.
1
REPLY"
154,"Les Strishock
2 weeks ago
The suspense of this drama is nail biting
REPLY"
155,"2 Short
12 days ago
""There will be no winners""-Vladimir Putin
REPLY"
156,"fusger Snabble
2 weeks ago
Ukraine has left an entire corridor open to Kiev - makes me wonder who is in charge.
REPLY"
157,"Gre Fee
2 weeks ago
I wish it happens I  miss wars foreal
1
REPLY"
158,"HeartDoc Andrew
2 weeks ago
""Threat of Russian invasion of Ukraine intensifies"" so let's #ConvinceItForward
3
REPLY"
159,"Freddie Stone
2 weeks ago
In the words of The Rock, just bring it!🇵🇷
REPLY"
160,"Harmon Daniels
2 weeks ago
Imagine being the translator having to translate the babble Joe Biden says.
3
REPLY"
161,"My Name
2 weeks ago
Russia 🇷🇺 doesn't want war but it already took Crimea from Ukraine. Now Russia 🇷🇺 deploys massive troops around Ukraine and refuse to de-escalate. Russia 🇷🇺 is absolutely doing the opposite of what it says. Love and support to Ukraine 🇺🇦
4
REPLY"
162,"remo maama
2 weeks ago
Whatever war you want to do just do it without any casualties of citizens of Ukraine.😭
REPLY"
163,"Haris The Proud Bosniak
2 weeks ago
This does remind me of Bosnia 1992-1995. Sad thing is there were many people from Ukraine who came to help those Serbs so  i do not know if i should support them but i do not like Russia.
REPLY"
164,"Ramon Sr Gravidez
2 weeks ago
Peace and humility with respect is the best solution think love one another
REPLY"
165,"Chintan Patel
2 weeks ago
With Russia 🇷🇺 in any situation from to 🇮🇳...
REPLY"
166,"Scorpion McScorp
2 weeks ago (edited)
(Ring - Ring - Ring..)

Biden; ""Please don`t do it.""

Putin: ""Oh no not you again.."" (hangs up)
17
REPLY"
167,"The Meiji Restoration
2 weeks ago
Please don’t go to war. This is going to turn into a bloodbath. Praying for peace
2
REPLY"
168,"Miss- H0T Girl-C0me 0ver L!ve
2 weeks ago
These media outlets are like a movie. The way they put together the images. Shooting guns, explosions, fire, missile launches! It's like they want to purposely cause a panic.
REPLY"
169,"kurt
2 weeks ago
I remember once when you could trust msm unlike today. Bought and paid for
REPLY"
170,"TCBC moto
2 weeks ago
Please God it doesn't come to war as there will be no winners 🙏
REPLY"
171,"Silence
2 weeks ago
There’s not much more to say at this point. Either they’ll invade or they won’t.
REPLY"
172,"iva taiwan
2 weeks ago
Nobody defeat the great Russian warriors..
5
REPLY"
173,"Vice Man
2 weeks ago (edited)
You can bet that I stand ready
When the bear growls at the door
Hey, I'm solid, hey I'm steady
Hey I'm true down to the core
Read more
REPLY"
174,"Kimberly Kachel
2 weeks ago
If this happened in the US. There would be attorneys ready to sue.
REPLY"
175,"Chris
2 weeks ago
The US needs to stay out of it
1
REPLY"
176,"Jet Black Ninja 82
2 weeks ago
All this intensification and escalation is very entertaining as well as ignorant.
1
REPLY"
177,"gutierrezabisai13
2 weeks ago
It's about  time  the military  get It's money's  worth they signed  up for it why complain  about your choice 😉 👍
1
REPLY"
178,"ShamanKish
2 weeks ago
Intensifying, intensifying, intensifying, almost war, almost war, almost war...

This reminds me of Monty Python's sketch, when a Scotsman in Scotland watches camels...
- Well, How many camels have you seen so far?
Read more
5
REPLY"
179,"Carlos Pereira
2 weeks ago
I have a 3-step solution for the conflict:

Step 1: NATO must end all relationships with Ukraine.
Read more
REPLY"
180,"ALMA-🔞T[A]P Me!! to Have [𝐒]𝐄𝐗 With 𝐌𝐞
2 weeks ago
Will those swift and severe costs be in Rubles or Dollars?
10
REPLY"
181,"Make Asylums Great Again • 10 years ago
2 weeks ago
Russia is about to get humbled on the world stage. We might have Senile Joe for a president but that doesn’t diminish the power we have honed over the past 20 years kicking doors and running raids. 
Tier 1 units go Brrrrrrrrrrrrrrrrrrrr.
2
REPLY"
182,"Fro Jds
2 weeks ago
I totally agree with zelensky. It would send a strong message and show soladarity and help to de escalate the situation. Do u guys think that Putin would even 🤔 to invade Ukrainian if president Biden was there. He would never dare. He not that stupid.
REPLY"
183,"nicholas popof
2 weeks ago
Do US officials EVER tell the truth?
REPLY"
184,"Black Gunner
2 weeks ago
Vladimir Putin said "" Russia must act now that the united States is under the rule of a senile leader"" Putin also said he would never take action against Ukraine if Donald Trump was in the Whitehouse but Biden is not someone they fear.
1
REPLY"
185,"Cezary Kwasiborski
2 weeks ago
Stand up to Russia
REPLY"
186,"NONVISI
2 weeks ago
Everyone, please pray for peace.
6
REPLY"
187,"SLUGDASLUMP
2 weeks ago
These rich leaders use our younger brothers and sisters may god be with all and hopefully nothing escalates peace and helping each other to be a better human race
REPLY"
188,"Ousama Hama
2 weeks ago
Plz wait for 2023 so we get a chance to watch a World Cup 🥺💀😍
REPLY"
189,"Alvin Vivian
2 weeks ago
""Swiftly and decisively"" meaning what?

Boots on the ground in Ukraine?
Read more
REPLY"
190,"-[ J E N I F F E R]🥂T[A]P Me!! to Have [𝐒]𝐄𝐗 W
2 weeks ago
The entire world is suffering, War does not solve issues. It causes nothing but death and destruction. If Russia invades Ukraine it would be a tragic mistake. Not just for Russia, but for humanity. We must all hope that sanity prevails and that the world can work as one to better everyone's lives.
REPLY"
191,"Steven Rudesal
2 weeks ago
Lol, I could be in that war and conquer. The governments get in the way. Think and destroy. All comes down to balls. Salute!!!!!
REPLY"
192,"KanZaman
2 weeks ago
Punitive sanctions ought to be imposed now, not after an attack.
5
REPLY"
193,"Bill Jones
2 weeks ago
So much intensification!! 🤯
1
REPLY"
194,"DJ Leigh
2 weeks ago
If you like Biden so much name three of his complete sentences...Let's Go Brandon!..FJB🖤
REPLY"
195,"Lesmes Boyenger
2 weeks ago
So Easy to Stop the Threats on Both sides, ... Back-off USA/NATO !!!
REPLY"
196,"Healing Humanity
2 weeks ago
It’s awful that our planet still makes wars! Perhaps, once a critical mass of people discovers the beauty of peace, these absurd & fruitless wars will cease.  We need to experiment with peace both within ourselves & with others. We have had enough wars!
5
REPLY"
197,"Goosby Goosby
2 weeks ago
SMH the USA made the wrong approach they should’ve stepped in and tried to make peace between the two not war
REPLY"
198,"Diana Hill
2 weeks ago
Still waiting since 1964 to have my adoption nullified, and take back my legal birth certificate. And not have that authority or custody be given back to my biological relatives, or their relatives. 
As a child I was legally removed from one abusive and dysfunctional group of people, and placed into another group of dysfunctional and abusive group of people. 
Read more
3
REPLY"
199,"FightMeNot
2 weeks ago
Just do it Puttin. That old joe cannot stop you 😂  I wanna know how they will react after that Afghanistan. Popcorns and drinks are ready
REPLY"
200,"Kim Byrum
2 weeks ago
We have enough problems. Biden needs to back off
33
REPLY"
201,"Z W
2 weeks ago (edited)
shout out to the bois in the eighty-deuce. Less than 2000 of them are grunts, and there is only about 4 more brigades of paratroopers to send...so just remember that this tiny All-American all-volunteer unit is ALL that stands up for us as a nation of 330 mil.
14
REPLY"
202,"Elsie Schmaltz
2 weeks ago
Prayers 🙏🕊️🙏🙏🙏🙏🕊️
1
REPLY"
203,"Lee Jenkins
2 weeks ago
At any time! The media needs go stay away from this story.
REPLY"
204,"Mikael
2 weeks ago
Dictators will always fall eventually. Starting illegal invasions is always accelerating the fall of dictators. Let's hope that the Putin regime will fall soon. He can't poison the whole Russian population, even if he wants to.
REPLY"
205,"Miko Mike
2 weeks ago
UKRAINE IS AZERBAIJAN 🇦🇿👋🏽👋🏽👍🏽👍🏽🔥🔥 Ukraine Bizimdir
REPLY"
206,"Rob T
2 weeks ago
I welcome Putin to move his troops to the Mexico, US border maybe Biden will get tough on border security
6
REPLY"
207,"A Wise Man
2 weeks ago
Hell yeah 🔥
REPLY"
208,"Al_ Coholic
12 days ago
Biden should put more attention here in the border with Mexico
REPLY"
209,"Bruce Jemcek
2 weeks ago
They didn't build the SU-57s and the TU-160s for nothing. Let's see what those awesome aircraft can do.
REPLY"
210,"Jeremy Piper
2 weeks ago
Jokes on Belarus. Russia already took practically all of Georgia now they’re after Ukraine. Who do they think is next?
REPLY"
211,"TheTruth1.61
2 weeks ago
Yeah we've been hearing THE SAME STORY for a week now, nothing has changed! Fear mongering at it's finest!!!!
REPLY"
212,"John Hoover, POV Media
2 weeks ago (edited)
Send Kamala, Nancy and Hillary plus the Squad. Then tell Vlad he ain’t got a hair on his Russian arse if he don’t send some missles over.
12
REPLY"
213,"R L
2 weeks ago
If Ukraine sign an agreement not to join NATO then it will avoid an invasion period.
REPLY"
214,"Jessica Printke
2 weeks ago
As Americans we should be prepared Have food stored be prepared to go without electricity Have an exit strategy In case shelter is needed. May God be with us
REPLY"
215,"kim stone
2 weeks ago
It can come at anytime, so it can start tomorrow or 20 years from now.
REPLY"
216,"Mohammed Najeeb
2 weeks ago
Russia may not stopped the military force and may use it if necessary.
REPLY"
217,"englundus
2 weeks ago
Oh my word.  This could end VERY badly....
REPLY"
218,"Ryan 11bravo
2 weeks ago
Just like two weeks to flatten the curve, ""Any day now"".
10
REPLY"
219,"Meta Fora
2 weeks ago
Luego de la experiencia de Napoleón y la del 3er Reich, las batallas serán en primavera.
REPLY"
220,"j vargas
2 weeks ago
And you will hear of wars and rumors of wars. See that you are not troubled; for all these things must come to pass, but the end is not yet. For nation will rise against nation, and kingdom against kingdom. And there will be famines, pestilences, and earthquakes in various places. All these are the beginning of sorrows.~Matthew 24:6-8
30
REPLY"
221,"Thomas H Cullen
2 weeks ago
If the Ukraine is made of atoms, is it wrong, to not expect its US embassy staff to leave it because it's made of atoms?
REPLY"
222,"The Anonymous Prepper Channel
2 weeks ago
Putin laughed at biden in the phone call. Shows russia is gonna do what they want.
1
REPLY"
223,"Chhuon Vanna
2 weeks ago
If war happens, both side will suffer from that war.
REPLY"
224,"PhantomMatrix
2 weeks ago
I wonder how many medals can you get from these war games? 🎖🎖🎖😄
2
REPLY"
225,"Vladlen Volkov
2 weeks ago
President of Ukraine: I am sure that if the US president came here, Russia would not invade here 100%.
US President: This is an interesting idea, can I ask who you are and where your country is so that I don't come there?
2
REPLY"
226,"SSRG
2 weeks ago
I sincerely hope for the safety of Ukraine Citizens.
God bless Ukraine 🇺🇦
God bless America🇺🇸
God bless EU🇪🇺
Read more
5
REPLY"
227,"Pookie Smoochie
2 weeks ago
Dear god please don’t let my husband get sucked into and deployed to this mess.
1
REPLY"
228,"edgar padilla
2 weeks ago
Ian has ball's of steele. He is in every warzone ABC news does reporting on.
1
REPLY"
229,"Lil RimFire
2 weeks ago (edited)
If they denied it then what’s the reason then for if they state training first but that’s not the case huge move
REPLY"
230,"winter_rift •
2 weeks ago
You should be held accountable for news like this.
REPLY"
231,"Sanya Suk.
2 weeks ago
We are with you , Ukraine.
REPLY"
232,"vicent huerta
2 weeks ago
Maybe the president could send Joe Manchin to Ukraine
14
REPLY"
233,"Shanpatrick Baker
2 weeks ago
If it was almost any other country in the area, we would be obligated to help. We still should oppose Russia and China and both of their goals in the region, but Ukraine isn't actually our military ally.
REPLY"
234,"Γιάννης Χαρικαπολυς
2 weeks ago
Why does Russia want to capture more of Ukrainian soil since they captured krimea region which is a port in warm waters ( after all that’s what they really wanted). The next logical claim would be to capture soil in Bosporus straights but instead they go for more Ukrainian soil. What is that we don’t see?
REPLY"
235,"Ali Esmailiyan
2 weeks ago
If Russia invade Ukraine,  then Nato can give green light to Azerbaijan to invade Armenia and in that case Turkey that is a member of Nato can reach to the caspian see,  exactly on the south of Russia and then Nato can open another frontier with Russia if they decide to invade Ukraine
REPLY"
236,"Paul Shearer
2 weeks ago
The US and its allies will respond swiftly if the Poo invades Ukraine.  Ah to be clear, when we say 'the US and its allies will respond swiftly' we mean a swift token response only of course.
REPLY"
237,"Hamidullah Rahimi
2 weeks ago
Putin is in The right side , i am sorry for the civilians everywhere must the civilians suffer and tolerate disasters  calamities 🤕😭🤕😭
REPLY"
238,"Minecraftwizzard 2010
2 weeks ago
Me chillin on the couch watching this like it’s another day 

same thing different day
11
REPLY"
239,"james ewanchook
13 days ago
From your Canadian brothers: God Bless the Ukrainian people! The peoples of the former Soviet Union and satellites never had the human capital, geographical luck, or institutions to rise like the West. Every time we tried some Czar like/Bolshevik/Holodomoric/Stalinist dictator stepped on our neck. Putin is hopefully last in a long line of oppressors.
REPLY"
240,"sandman
2 weeks ago
Russian aggression must be stopped. Ephesians 6:11 ""put on the whole armour of God.... "" sometimes war is necessary to stop tyranny. fear of death?  just overcome it , we will return to God sooner or later . It's peace and tranquility only there if we belief in Him .
7
REPLY"
241,"Jonas Ezekiel
2 weeks ago
Russia warned Ukraine about NATO exercises near their border in Ukraine but wise-arse Zelensky didn't listen, so Russias do whatever they should do to safeguard their nation.
2
REPLY"
242,"urbanminingandmetals
2 weeks ago
Let's take a good hard look at why this is happening. Russia has been sitting idol until NATO started trying to build missile sights in Ukraine. NATO is responsible for this
1
REPLY"
243,"Bezuja
2 weeks ago
War in this modern time? Is something we all should avoid, coz if happens is the end of humanity
REPLY"
244,"Danny Lo
2 weeks ago
Imagine Russia never invades. Simply because it will know that Ukraine will break to pieces by their own actions.
REPLY"
245,"My comment
2 weeks ago
It wasn't worse than the embargo that imposed on the Iraqi people during the 90' by UN and Saddam regime
REPLY"
246,"Music Travel Explore
2 weeks ago
Everyday on news it was intensifies..
11
REPLY"
247,"Paul Braga
2 weeks ago
and so the cold war is alive and well...blessings to all
REPLY"
248,"CHOONAKA
10 days ago
If youre stuck amongst this conflict, I can recommend go west
REPLY"
249,"N B
2 weeks ago
Maybe protect our border?? Also a weak policy on literally everything is the cause.
REPLY"
250,"Flyer
2 weeks ago
Russian: we are on own land.
Ukraine: there is no risk of Russian invasion
US: Alpha squad ready! Go-go-go
REPLY"
251,"Elijah Kane
2 weeks ago
Just do it and get it over with so we can go with our miserable lives
REPLY"
252,"UKWN Jae
2 weeks ago
Nothing is gonna happen, they just keep repeating the same thing over and over to get their views up.
5
REPLY"
253,"Dr. Anupam Rauthan
2 weeks ago
We need 007 on the mission to avert the crisis !
2
REPLY"
254,"CJ Miller
2 weeks ago
So funny they made Trump release his calls, can only imagine what Bidens people are saying on the call, he sure cant talk.
REPLY"
255,"r c
2 weeks ago
I just hope the war start soon and then wait for then ending... all parties will then learnt that be hard headed leads to destruction
1
REPLY"
256,"Marc
2 weeks ago
PLEASE politicians, we elected you for PEACE not  for WAR !!!!
REPLY"
257,"Amos Simon
2 weeks ago
Maybe Ukrains and Russia.could sit down  start talking and come up with a solution. Leave every one else out.
REPLY"
258,"Darren Madkins
2 weeks ago
So tired of hearing about this just attack already!
3
REPLY"
259,"H S
2 weeks ago
Hunter has got his weapon ready for sure
REPLY"
260,"Ox
2 weeks ago
Bye covid, hello war
10
REPLY"
261,"Jeremy Galloway
2 weeks ago
Puti should put the tanks literally right on the border. Like touching the borderline. Do not go over just put tanks touching the border. Instead of a border wall why don't they make a borderline of tanks.
1
REPLY"
262,"Robert Kummings jr
2 weeks ago
I’m sure Putin is shaking in his boots🙄🇺🇸💪🏽
REPLY"
263,"KriSVisV
2 weeks ago (edited)
03:05 It looks like Americans are the ones in a panic about the Ukraine invasion...
REPLY"
264,"Aaron Rose
2 weeks ago (edited)
When we rebound after the Fallout those will be counted as new jobs though 🤣
REPLY"
265,"彭志华
2 weeks ago
The murderer used electronic weapons many times near Yixue Street, Nanshan, Shenzhen, China. Electromagnetic weapons attacked me. (There is a high probability of using equipment to attack in the air or on the plane). The murderer is extremely dangerous. I strongly request the Chinese police to solve the case.
REPLY"
266,"Tom Green
2 weeks ago
No one should worry President Applesauce at the helm
7
REPLY"
267,"D&D Operations
2 weeks ago
Brandon must be sweating the possibility of losing that 10%.
2
REPLY"
268,"Ümit Demiral
2 weeks ago
All countries turned their backs. What they say the most is they see this situation as a threat to themselves. What pathetic and self-explanatory statements. They don't care about the Ukrainian people. Turkey is with you Ukraine. Do not worry. Stay in peace.
REPLY"
269,"Mary Kinuthia
2 weeks ago
This sounds like the 1st war in 500 years 😳.
REPLY"
